"t [s]","Acceleration a_x [m/s^2]","Acceleration a_y [m/s^2]","Acceleration a_z [m/s^2]"
4.558143926E1,2.498084743E-2,6.745984787E-2,2.493330327E-1
4.578380015E1,1.448389379E-2,7.482394867E-2,1.995645325E-1
4.598616530E1,1.205472248E-2,3.417842345E-2,9.627299192E-2
4.618852546E1,6.678348634E-3,-3.377852789E-2,-2.776395548E-2
4.639090671E1,-5.071919139E-3,-9.380032631E-2,-1.455628000E-1
4.659325202E1,-1.626605522E-2,-1.176735755E-1,-2.204663957E-1
4.679561072E1,-2.263199411E-2,-8.210584194E-2,-2.132552804E-1
4.699797499E1,-1.409914435E-2,-9.920506943E-3,-1.393680224E-1
4.720033343E1,-1.031898871E-3,4.677826312E-2,-2.416441644E-2
4.740269520E1,1.120997638E-2,7.290179410E-2,1.036676895E-1
4.760505640E1,2.384302093E-2,5.205388549E-2,1.975761303E-1
4.780743910E1,2.886932652E-2,-9.379222262E-3,2.404661237E-1
4.800978535E1,2.233086563E-2,-7.437370318E-2,2.174910656E-1
4.821213879E1,1.725801607E-2,-1.115380713E-1,1.313318567E-1
4.841450124E1,9.000429293E-3,-9.210481767E-2,1.075406336E-2
4.861687744E1,-5.622026397E-5,-3.493894219E-2,-1.048769747E-1
4.881923431E1,-1.717553488E-2,2.925299617E-2,-1.831887844E-1
4.902158426E1,-2.857354792E-2,6.256778138E-2,-2.031401091E-1
4.922394442E1,-2.582580287E-2,5.183771834E-2,-1.563349264E-1
4.942630785E1,-5.652730058E-3,5.888686674E-3,-6.199608780E-2
4.962867426E1,1.485301227E-2,-5.639133475E-2,5.303898090E-2
4.983104426E1,2.948037589E-2,-9.755882112E-2,1.550872413E-1
5.003339030E1,3.325750770E-2,-9.688247286E-2,2.172212368E-1
5.023575129E1,2.371206516E-2,-5.023315440E-2,2.229216738E-1
5.043808869E1,1.484580156E-2,1.654417558E-2,1.539936676E-1
5.064047301E1,4.142365805E-3,5.662781800E-2,5.281139874E-2
5.084285353E1,-5.341553107E-3,5.765140420E-2,-5.953445522E-2
5.104519134E1,-1.333255303E-2,1.877022953E-2,-1.472627695E-1
5.124755228E1,-1.679532121E-2,-4.340884235E-2,-1.891006653E-1
5.144991629E1,-1.805803252E-2,-9.269668943E-2,-1.691311772E-1
5.165228843E1,-7.444358454E-3,-1.038084415E-1,-9.286517050E-2
5.185463671E1,9.595708149E-3,-6.573887315E-2,1.532731987E-2
5.205702332E1,2.285620061E-2,-2.690735023E-3,1.245888966E-1
5.225935853E1,2.322155092E-2,5.109575500E-2,1.948681168E-1
5.246171822E1,1.591908059E-2,6.832548322E-2,2.143808894E-1
5.266407989E1,1.589300574E-2,3.566312208E-2,1.729551612E-1
5.286644098E1,1.235757223E-2,-1.778325838E-2,8.799489242E-2
5.306880015E1,7.327312376E-3,-7.800908387E-2,-1.591346322E-2
5.327116046E1,-5.655521300E-4,-1.059166789E-1,-1.146695483E-1
5.347353004E1,-1.475352776E-2,-8.464894953E-2,-1.762422381E-1
5.367588181E1,-1.604703578E-2,-2.752483182E-2,-1.751621002E-1
5.387824254E1,-1.669932575E-2,3.367889400E-2,-1.170722900E-1
5.408060124E1,-8.803995644E-3,6.011420125E-2,-2.158206992E-2
5.428299233E1,7.389045343E-3,4.594803438E-2,7.829821982E-2
5.448532457E1,2.496156460E-2,5.917076657E-4,1.611898207E-1
5.468766895E1,2.995200273E-2,-5.881361336E-2,2.016899615E-1
5.489002999E1,2.331912808E-2,-9.678107118E-2,1.824671175E-1
5.509239009E1,1.721603114E-2,-9.169053304E-2,1.105410442E-1
5.529474884E1,5.892730341E-3,-4.241863129E-2,5.977677136E-3
5.549711077E1,-5.429663309E-3,1.661629466E-2,-9.700317499E-2
5.569947025E1,-2.014623037E-2,5.412684054E-2,-1.561141508E-1
5.590184103E1,-2.335464664E-2,5.014946911E-2,-1.678052574E-1
5.610418931E1,-1.740732426E-2,7.677749890E-3,-1.313465092E-1
5.630655067E1,-1.570538777E-4,-4.424726163E-2,-5.572417887E-2
5.650890931E1,7.661284470E-3,-8.684022725E-2,4.257876699E-2
5.671126858E1,1.999624764E-2,-9.404026099E-2,1.310522382E-1
5.691363114E1,2.422351372E-2,-5.858344494E-2,1.853696718E-1
5.711599004E1,2.014837032E-2,3.505081665E-3,1.824833358E-1
5.731834978E1,1.701471282E-3,4.778112726E-2,1.245297048E-1
5.752071207E1,-3.110373892E-3,5.903688873E-2,3.771946488E-2
5.772307082E1,-4.913609202E-3,2.129969219E-2,-5.458812888E-2
5.792543004E1,-4.637276254E-3,-3.096043046E-2,-1.305965301E-1
5.812777942E1,-1.180309203E-2,-8.186770467E-2,-1.638144604E-1
5.833014676E1,-1.073367421E-2,-9.975265166E-2,-1.487014614E-1
5.853251067E1,-7.845250572E-3,-7.317352531E-2,-8.216942956E-2
5.873486562E1,7.366831710E-3,-1.733810909E-2,1.303067876E-2
5.893720879E1,1.428936749E-2,3.655097906E-2,1.090241002E-1
5.913958739E1,1.615689440E-2,5.705915210E-2,1.690250344E-1
5.934196108E1,1.526637194E-2,4.001047771E-2,1.799880528E-1
5.954430707E1,1.876282110E-2,-1.034745792E-2,1.455110282E-1
5.974666619E1,1.438406037E-2,-6.411336508E-2,6.787967100E-2
5.994902660E1,6.047853609E-3,-9.309367218E-2,-2.684608320E-2
6.015138874E1,-6.067950551E-3,-8.106242811E-2,-1.081551590E-1
6.035376025E1,-1.289388610E-2,-3.418694909E-2,-1.557037263E-1
6.055610770E1,-2.275076145E-2,1.873362428E-2,-1.524704549E-1
6.075845718E1,-1.364200871E-2,4.695206663E-2,-9.904183847E-2
6.096082770E1,-7.697872999E-3,4.231106508E-2,-1.837330475E-2
6.116317280E1,1.415599265E-2,1.019843468E-3,7.598543458E-2
